2011-03-01 21:27:51 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/home/content/54/7432654/html/cakephp/cake/libs/debugger.php, line 684]
2011-03-01 21:27:51 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/home/content/54/7432654/html/cakephp/cake/libs/debugger.php, line 688]
2011-03-01 21:32:59 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/home/content/54/7432654/html/cakephp/cake/libs/debugger.php, line 688]
2011-03-01 23:21:29 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:23:01 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:24:17 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:24:20 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:24:22 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:24:36 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:25:51 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:27:19 Notice: Notice (8): Undefined variable: posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 8]
2011-03-01 23:27:59 Notice: Notice (8): Undefined index:  posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 10]
2011-03-01 23:27:59 Notice: Notice (8): Undefined index:  posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 11]
2011-03-01 23:34:09 Notice: Notice (8): Undefined index:  posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 10]
2011-03-01 23:34:09 Notice: Notice (8): Undefined index:  posts in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 11]
2011-03-01 23:34:21 Notice: Notice (8): Undefined index:  post in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 10]
2011-03-01 23:34:21 Notice: Notice (8): Undefined index:  post in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 11]
2011-03-01 23:37:24 Notice: Notice (8): Undefined index:  post in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 10]
2011-03-01 23:37:24 Notice: Notice (8): Undefined index:  post in [/home/content/54/7432654/html/cakephp/app/views/posts/index.ctp, line 11]
